,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
428,31.0,0.3,32.0,0.6,18.64260503,18.057295
429,40.0,0.3,32.0,0.6,18.65768332,17.92625
430,4.0,0.4,32.0,0.6,10.16298729,10.433598
431,13.0,0.4,32.0,0.6,18.72121465,18.964138
432,22.0,0.4,32.0,0.6,20.40956464,20.255556
433,31.0,0.4,32.0,0.6,20.44339306,20.330389
434,40.0,0.4,32.0,0.6,20.46235494,20.323847
435,4.0,0.5,32.0,0.6,8.758452441,9.247055
436,13.0,0.5,32.0,0.6,18.98935844,19.25582
437,22.0,0.5,32.0,0.6,21.00937617,20.815512
438,31.0,0.5,32.0,0.6,21.04262947,20.969776
439,40.0,0.5,32.0,0.6,21.05804642,21.041079
440,4.0,0.6,32.0,0.6,7.961932662,8.278656
441,13.0,0.6,32.0,0.6,18.81220202,18.860342
442,22.0,0.6,32.0,0.6,20.99434058,20.677364
443,31.0,0.6,32.0,0.6,21.01634968,20.854778
444,40.0,0.6,32.0,0.6,21.01758638,20.947403
445,4.0,0.7,32.0,0.6,7.574887949,7.5514727
446,13.0,0.7,32.0,0.6,18.12271797,18.140772
447,22.0,0.7,32.0,0.6,20.26511693,20.322826
448,31.0,0.7,32.0,0.6,20.26234523,20.502808
449,40.0,0.7,32.0,0.6,20.23263404,20.5944
450,4.0,0.2,8.0,0.8,4.749016477,4.7154064
451,13.0,0.2,8.0,0.8,5.308389159,5.153557
452,22.0,0.2,8.0,0.8,5.206723226,5.0527906
453,31.0,0.2,8.0,0.8,5.106697488,4.9328213
454,40.0,0.2,8.0,0.8,5.001721066,4.8195624
455,4.0,0.3,8.0,0.8,5.582685212,5.0606627
456,13.0,0.3,8.0,0.8,6.531512178,5.9627004
457,22.0,0.3,8.0,0.8,6.392957189,5.828025
458,31.0,0.3,8.0,0.8,6.255034344,5.646184
459,40.0,0.3,8.0,0.8,6.111981722,5.456037
460,4.0,0.4,8.0,0.8,4.910586989,4.9977183
461,13.0,0.4,8.0,0.8,6.087717813,6.33682
462,22.0,0.4,8.0,0.8,5.940940861,6.1484222
463,31.0,0.4,8.0,0.8,5.789491907,5.905656
464,40.0,0.4,8.0,0.8,5.639808066,5.6501503
465,4.0,0.5,8.0,0.8,4.590351396,4.4823036
466,13.0,0.5,8.0,0.8,5.96312264,6.1294928
467,22.0,0.5,8.0,0.8,5.790430598,5.879617
468,31.0,0.5,8.0,0.8,5.610173252,5.582212
469,40.0,0.5,8.0,0.8,5.432071199,5.282232
470,4.0,0.6,8.0,0.8,3.887802151,3.863258
471,13.0,0.6,8.0,0.8,5.278428436,5.610554
472,22.0,0.6,8.0,0.8,5.074184844,5.333442
473,31.0,0.6,8.0,0.8,4.855662231,5.0216937
474,40.0,0.6,8.0,0.8,4.643387379,4.727481
475,4.0,0.7,8.0,0.8,4.293420094,3.4206367
476,13.0,0.7,8.0,0.8,5.876663637,5.015904
477,22.0,0.7,8.0,0.8,5.562749085,4.771819
478,31.0,0.7,8.0,0.8,5.193914231,4.4936175
479,40.0,0.7,8.0,0.8,4.803094582,4.248552
480,4.0,0.2,14.0,0.8,7.124085026,7.08509
481,13.0,0.2,14.0,0.8,8.76096843,8.274798
482,22.0,0.2,14.0,0.8,6.760374899,8.162851
483,31.0,0.2,14.0,0.8,8.671680951,7.9898977
484,40.0,0.2,14.0,0.8,8.61128034,7.8445477
485,4.0,0.3,14.0,0.8,7.651654255,7.95641
486,13.0,0.3,14.0,0.8,10.32622969,10.326722
487,22.0,0.3,14.0,0.8,10.30700942,10.272617
488,31.0,0.3,14.0,0.8,10.24161663,10.0874
489,40.0,0.3,14.0,0.8,10.17650475,9.913249
490,4.0,0.4,14.0,0.8,7.690702977,8.090033
491,13.0,0.4,14.0,0.8,11.38664876,11.614805
492,22.0,0.4,14.0,0.8,11.36796426,11.638761
493,31.0,0.4,14.0,0.8,11.29580346,11.4915905
494,40.0,0.4,14.0,0.8,11.21983846,11.3498745
495,4.0,0.5,14.0,0.8,7.191005929,7.4419746
496,13.0,0.5,14.0,0.8,11.7712088,11.890037
497,22.0,0.5,14.0,0.8,11.74018664,11.935009
498,31.0,0.5,14.0,0.8,11.64619855,11.771465
499,40.0,0.5,14.0,0.8,11.54855839,11.61008
500,4.0,0.6,14.0,0.8,6.414640377,6.5146623
501,13.0,0.6,14.0,0.8,11.50150824,11.600507
502,22.0,0.6,14.0,0.8,11.43896078,11.633141
503,31.0,0.6,14.0,0.8,11.30933547,11.402775
504,40.0,0.6,14.0,0.8,11.17560909,11.172135
